ID,slot,metal,ox,lig,spin,basis,scfConv,scfSteps,spinContam,ccsdConv,ccsdSteps,scfEnergy,ccsdEnergy,T1,time
33,gen_0_slot_93_2_3_31_31_31_20_2_1_1_0,93,2,3,31,2,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
34,gen_0_slot_93_2_3_31_31_31_20_2_0_1_0,93,2,3,31,2,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
35,gen_0_slot_93_2_3_31_31_31_20_6_1_1_0,93,2,3,31,6,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
36,gen_0_slot_93_2_3_31_31_31_20_6_1_0_0,93,2,3,31,6,cc-pVTZ,True,37,0.010676,True,undef,-1937.89944052,-1940.688099966717,0.022630618,7.42824527778
37,gen_0_slot_93_2_3_31_31_31_20_2_1_0_0,93,2,3,31,2,cc-pVTZ,True,53,0.179090,True,undef,-1937.73210327,-1940.674528611075,0.028453432,7.59154
38,gen_0_slot_93_2_3_31_31_31_20_6_0_1_0,93,2,3,31,6,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
39,gen_0_slot_93_2_3_31_31_31_20_6_0_0_0,93,2,3,31,6,cc-pVDZ,True,35,0.010634,True,undef,-1937.70301485,-1939.941005481555,0.023867749,2.07429972222
40,gen_0_slot_93_2_3_31_31_31_20_2_0_0_0,93,2,3,31,2,cc-pVDZ,True,64,0.158136,True,undef,-1937.54444323,-1939.925275086541,0.028907435,3.02026472222
41,gen_0_slot_92_2_2_31_31_31_20_1_0_0_0,92,2,2,31,1,cc-pVDZ,True,26,0.000000,True,undef,-1938.23224188,-1940.648107356176,0.031522698,3.58201361111
42,gen_0_slot_92_2_2_31_31_31_20_5_1_0_0,92,2,2,31,5,cc-pVTZ,True,22,0.011791,True,undef,-1938.58723499,-1941.394865821787,0.018954804,6.73484777778
43,gen_0_slot_92_2_2_31_31_31_20_1_1_0_0,92,2,2,31,1,cc-pVTZ,True,29,0.000000,True,undef,-1938.41254170,-1941.408675885423,0.029884509,9.66637444444
44,gen_0_slot_92_2_2_31_31_31_20_5_1_1_0,92,2,2,31,5,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
45,gen_0_slot_92_2_2_31_31_31_20_5_0_0_0,92,2,2,31,5,cc-pVDZ,True,24,0.010871,True,undef,-1938.40311644,-1940.640566194225,0.020423966,3.85828416667
46,gen_0_slot_92_2_2_31_31_31_20_5_0_1_0,92,2,2,31,5,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
47,gen_0_slot_92_2_2_31_31_31_20_1_1_1_0,92,2,2,31,1,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
48,gen_0_slot_92_2_2_31_31_31_20_1_0_1_0,92,2,2,31,1,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
49,gen_0_slot_86_3_2_30_30_30_20_4_0_0_0,86,3,2,30,4,cc-pVDZ,True,32,0.012453,True,undef,-1938.30454890,-1940.536268364577,0.018982781,3.86445666667
50,gen_0_slot_86_3_2_30_30_30_20_4_1_1_0,86,3,2,30,4,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
51,gen_0_slot_86_3_2_30_30_30_20_4_1_0_0,86,3,2,30,4,cc-pVTZ,True,35,0.013260,True,undef,-1938.45802021,-1941.226171679254,0.018098903,9.42936694444
52,gen_0_slot_86_3_2_30_30_30_20_2_1_1_0,86,3,2,30,2,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
53,gen_0_slot_86_3_2_30_30_30_20_4_0_1_0,86,3,2,30,4,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
54,gen_0_slot_86_3_2_30_30_30_20_2_1_0_0,86,3,2,30,2,cc-pVTZ,True,32,0.007861,True,undef,-1938.35770028,-1941.228126723138,0.024923653,10.2422497222
55,gen_0_slot_86_3_2_30_30_30_20_2_0_0_0,86,3,2,30,2,cc-pVDZ,True,31,0.007609,True,undef,-1938.20716143,-1940.537011117970,0.025579961,3.78701444444
56,gen_0_slot_86_3_2_30_30_30_20_2_0_1_0,86,3,2,30,2,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
57,gen_0_slot_87_3_3_30_30_30_20_1_1_0_0,87,3,3,30,1,cc-pVTZ,True,27,-0.000000,True,undef,-1937.80159023,-1940.723883771803,0.029179717,11.5066277778
58,gen_0_slot_87_3_3_30_30_30_20_5_0_1_0,87,3,3,30,5,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
59,gen_0_slot_87_3_3_30_30_30_20_5_1_0_0,87,3,3,30,5,cc-pVTZ,True,73,0.030525,False,undef,-1937.87065082,undef,0.023618980,14.3981963889
60,gen_0_slot_87_3_3_30_30_30_20_1_0_1_0,87,3,3,30,1,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
61,gen_0_slot_87_3_3_30_30_30_20_1_1_1_0,87,3,3,30,1,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
62,gen_0_slot_87_3_3_30_30_30_20_5_1_1_0,87,3,3,30,5,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
63,gen_0_slot_87_3_3_30_30_30_20_5_0_0_0,87,3,3,30,5,cc-pVDZ,True,41,0.031372,False,undef,-1937.70877292,undef,0.023948677,8.17348305556
64,gen_0_slot_87_3_3_30_30_30_20_1_0_0_0,87,3,3,30,1,cc-pVDZ,True,25,-0.000000,True,undef,-1937.65040117,-1940.043034825839,0.028857979,2.89488027778
65,gen_0_slot_84_2_2_30_30_30_20_1_0_1_0,84,2,2,30,1,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
66,gen_0_slot_84_2_2_30_30_30_20_1_1_0_0,84,2,2,30,1,cc-pVTZ,True,31,0.000000,True,undef,-1819.34390519,-1822.236544843486,0.030449933,15.2561375
67,gen_0_slot_84_2_2_30_30_30_20_5_1_1_0,84,2,2,30,5,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
68,gen_0_slot_84_2_2_30_30_30_20_5_1_0_0,84,2,2,30,5,cc-pVTZ,True,29,0.015778,True,undef,-1819.49528647,-1822.196956596325,0.017024254,11.501635
69,gen_0_slot_84_2_2_30_30_30_20_5_0_1_0,84,2,2,30,5,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
70,gen_0_slot_84_2_2_30_30_30_20_5_0_0_0,84,2,2,30,5,cc-pVDZ,True,27,0.014494,True,undef,-1819.34253037,-1821.517180620146,0.017878744,6.47889416667
71,gen_0_slot_84_2_2_30_30_30_20_1_1_1_0,84,2,2,30,1,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
72,gen_0_slot_84_2_2_30_30_30_20_1_0_0_0,84,2,2,30,1,cc-pVDZ,True,26,0.000000,True,undef,-1819.19391233,-1821.551892953968,0.033001363,5.40733583333
73,gen_0_slot_85_2_3_30_30_30_20_6_0_1_0,85,2,3,30,6,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
74,gen_0_slot_85_2_3_30_30_30_20_6_1_0_0,85,2,3,30,6,cc-pVTZ,True,38,0.011027,True,undef,-1818.97535796,-1821.648787497245,0.019839282,9.50001444444
75,gen_0_slot_85_2_3_30_30_30_20_2_0_0_0,85,2,3,30,2,cc-pVDZ,True,48,0.093344,True,undef,-1818.67907594,-1820.987052546250,0.026901281,4.48882527778
76,gen_0_slot_85_2_3_30_30_30_20_2_1_1_0,85,2,3,30,2,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
77,gen_0_slot_85_2_3_30_30_30_20_6_1_1_0,85,2,3,30,6,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
78,gen_0_slot_85_2_3_30_30_30_20_2_0_1_0,85,2,3,30,2,undef,undef,undef,udef,undef,undef,undef,undef,undef,undef
79,gen_0_slot_85_2_3_30_30_30_20_6_0_0_0,85,2,3,30,6,cc-pVDZ,True,37,0.011294,True,undef,-1818.81624172,-1820.977729935310,0.019893154,2.95491666667
80,gen_0_slot_85_2_3_30_30_30_20_2_1_0_0,85,2,3,30,2,cc-pVTZ,True,52,0.105771,True,undef,-1818.83112080,-1821.660260718584,0.026789351,12.0521091667
